ensembl_id	gene_name	uniprot_id
ENSG00000275699	KIR2DL4	A0A0G2JNK6
ENSG00000275699	KIR2DL4	A0A376A929
ENSG00000275699	KIR2DL4	A0A0G2JPG6
ENSG00000275699	KIR2DL4	A0A0G2JPE3
ENSG00000275699	KIR2DL4	A0A0G2JNE8
ENSG00000275699	KIR2DL4	K7RE46
ENSG00000275699	KIR2DL4	Q8N736
ENSG00000275699	KIR2DL4	A0A376A8K3
ENSG00000275699	KIR2DL4	A0A0G2JNI1
ENSG00000275699	KIR2DL4	Q86U48
ENSG00000275699	KIR2DL4	A0A0B4J1S6
ENSG00000275699	KIR2DL4	A0A0G2JQ39
ENSG00000275699	KIR2DL4	E7EST5
ENSG00000275699	KIR2DL4	A0A0G2JQ13
ENSG00000275699	KIR2DL4	A0A0G2JN69
ENSG00000275699	KIR2DL4	K7QUT1
ENSG00000275699	KIR2DL4	A0A0G2JMQ9
ENSG00000275699	KIR2DL4	A0A0G2JLN0
ENSG00000275511	KIR3DL2	A0A191URK3
ENSG00000275511	KIR3DL2	A0A0U5FLC8
ENSG00000275511	KIR3DL2	P43630
ENSG00000275511	KIR3DL2	A0A1W2PPV3
ENSG00000275511	KIR3DL2	A0A0G2JN45
ENSG00000275511	KIR3DL2	A0A0G2JMI1
ENSG00000275511	KIR3DL2	A0A0G2JM59
ENSG00000275511	KIR3DL2	A0A1W2PQJ3
ENSG00000275511	KIR3DL2	A0A0U5GHD6
ENSG00000275511	KIR3DL2	A0A0G2JPA6
ENSG00000275511	KIR3DL2	A0A0G2JP67
ENSG00000275511	KIR3DL2	Q8NHK6
ENSG00000275511	KIR3DL2	A0A0G2JMW7
ENSG00000275511	KIR3DL2	A0A0G2JLP2
ENSG00000275511	KIR3DL2	A0A1W2PP69
ENSG00000275511	KIR3DL2	A0A0G2JP59
ENSG00000275511	KIR3DL2	A0A0G2JPL0
ENSG00000275511	KIR3DL2	A0A0G2JLU7
ENSG00000275511	KIR3DL2	A0A0G2JMA3
ENSG00000275511	KIR3DL2	A0A0G2JNN5
ENSG00000275511	KIR3DL2	A0A0G2JLZ4
ENSG00000275511	KIR3DL2	A0A0G2JLM7
ENSG00000275511	KIR3DL2	A0A120N617
ENSG00000275511	KIR3DL2	K7R1T8
ENSG00000275511	KIR3DL2	A0A0G2JP93
ENSG00000275511	KIR3DL2	A0A0G2JNA1
ENSG00000275511	KIR3DL2	A0A0U1WNF3
ENSG00000275511	KIR3DL2	A0A0G2JPQ5
ENSG00000275511	KIR3DL2	Q9BQU0
ENSG00000275511	KIR3DL2	A0A0G2JM36
ENSG00000275511	KIR3DL2	Q6H2F6
ENSG00000275511	KIR3DL2	A0A0U1WNF5
ENSG00000275511	KIR3DL2	A0A0G2JLX7
ENSG00000275511	KIR3DL2	A0A0G2JMS0
ENSG00000276433	KIR3DL3	A0A0B4J1R5
ENSG00000276433	KIR3DL3	Q8N743
ENSG00000276433	KIR3DL3	A0A0G2JNR7
ENSG00000276433	KIR3DL3	A0A7D4XVW4
ENSG00000276433	KIR3DL3	A0A0G2JM20
ENSG00000276433	KIR3DL3	A0A0G2JPI1
ENSG00000276433	KIR3DL3	A0A0G2JQ37
ENSG00000276433	KIR3DL3	A0A0G2JLS9
ENSG00000276433	KIR3DL3	A0A0G2JNJ1
ENSG00000276433	KIR3DL3	A0A0C4ZQX3
ENSG00000276433	KIR3DL3	A0A0G2JNI5
ENSG00000276433	KIR3DL3	A0A0G2JLZ2
ENSG00000276433	KIR3DL3	A0A0G2JN57
ENSG00000276433	KIR3DL3	A0A0G2JPB3
ENSG00000276433	KIR3DL3	A0A191URH1
ENSG00000276433	KIR3DL3	A0A0C4ZR07
ENSG00000276433	KIR3DL3	A0A0C4ZN08
ENSG00000276433	KIR3DL3	A0A0C4ZNX4
ENSG00000276433	KIR3DL3	A0A0G2JMQ2
ENSG00000276433	KIR3DL3	A0A191URG8
ENSG00000276433	KIR3DL3	A0A0G2JM09
ENSG00000277272	KIR3DL1	A0A1W2PRK8
ENSG00000277272	KIR3DL1	A0A0G2JM22
ENSG00000277272	KIR3DL1	C4N360
ENSG00000277272	KIR3DL1	A0A1W2PPW5
